url,label.
https://www.google.com,0.
https://github.com/login,0.
https://www.amazon.com/gp/cart,0.
https://en.wikipedia.org/wiki/Phishing,0.
https://www.microsoft.com/en-us/microsoft-365,0.
https://stackoverflow.com/questions,0.
https://www.bbc.com/news,0.
https://www.nytimes.com,0.
http://paypa1-secure-login.com/verify?user=1,1.
http://192.168.1.34/banking/login.php,1.
http://amaz0n-account-update.xyz/signin,1.
http://secure-apple-id.verify-login.tk/account,1.
http://bank-of-america.update-info.ml/login.html,1.
http://facebook-security-alert.cf/confirm?id=abc,1.
http://netfl1x-billing.gq/update-payment,1.
http://microsoft-support-online.top/account-verify,1.
